"id","clubName","clubID","clubCity","clubEmail","clubWebsite","clubPhone"
"53","SV Basteom","PVZQ505","STEENDEREN","secretaris@svbasteom.nl","http://www.basteom.nl","0575-451547"
"54","Petten","BBFW835","PETTEN","slof@quicknet.nl","http://www.svpetten.nl","0226-383420"
"55","SV Waalstad","BBKS84L","NIJMEGEN","dvetrajanus@gmail.com","http://www.svwaalstad.nl","024-3446834"
"56","SCO '63","BBDX10G","SPIJKENISSE","secretariaat@sco63.nl","http://www.sco63.nl",
"57","Jong Holland","BBFW51S","ALKMAAR","jeroen.hes@csvjongholland.nl","http://www.csvjongholland.nl",
"58","Hielpen","BBBF92U","HINDELOOPEN","svhielpen1966@gmail.com","http://www.svhielpen.nl","0514-850988"
"59","vv Zwanenburg","LWWS67L","ZWANENBURG","bestuur@vvzwanenburg.nl","http://www.vvzwanenburg.nl","06-51843038"
"60","VVIJ","BBBZ51F","IJSSELSTEIN UT","secretaris@vvij.nl","http://www.vvij.nl","030-6887646"
"61","SDV","BBDZ28R","ROTTERDAM","secretaris@vvsdv.nl","http://www.vvsdv.nl","0627829166"
"62","Colijnsplaatse Boys","BBHT775","COLIJNSPLAAT","secretaris@colijnsplaatseboys.nl","http://www.colijnsplaatseboys.nl","0113-695667"
"63","UNA","BBJC66W","VELDHOVEN","m.vanboekel1@chello.nl","http://www.vvuna.nl","040-2533700"
"64","Woubrugge","BBGX78J","WOUBRUGGE","info@vvwoubrugge.nl","http://www.vvwoubrugge.nl","06-11327667"
"65","Oliveo","BBGW474","PIJNACKER","secretaris@oliveo.nl","http://www.oliveo.nl",
"66","Egmondia","BBFW927","EGMOND AAN ZEE","secretariaat@egmondia.com","http://egmondia.com/","072-5063343"
"67","Weiteveense Boys","BBBG18H","WEITEVEEN","voetbal@weiteveenseboys.nl","http://www.weiteveenseboys.nl","06-22783735"
"68","Oranje Wit","BBJB054","DORDRECHT","secretariaat@oranjewit.nl","http://www.oranjewit.nl",
"69","SVEB","BBJS13Q","BROEKHUIZENVORST","secretaris@sveb.nl","http://www.sveb.nl","077-4632760"
"70","Jubbega","BBBD469","JUBBEGA","info@vvjubbega.nl","http://www.vvjubbega.nl","06-52245467"
"71","HZVV","BBBD193","HOOGEVEEN","bestuur@hzvv.nl","http://www.hzvv.nl","0528-263337"
"72","Lunteren","BBKX28W","LUNTEREN","secretariaat@vvlunteren.nl","http://www.vvlunteren.nl","06-11384967"
"73","Veluwezoom","BBKW48X","ROZENDAAL","info@scveluwezoom.nl","http://www.scveluwezoom.nl","06-37460188"
"74","Excelsior R.","BBDZ16M","ROTTERDAM","info@scexcelsiorjeugd.nl","http://www.scexcelsior.nl","010-4120516"
"75","Vianen Vooruit","BBJF25Y","VIANEN NB","marcel.silvy@gmail.com","http://www.vianenvooruit.nl","06-13664964"
"76","Excellent","BBJK38V","OPLOO","info@vvexcellent.nl","http://www.vvexcellent.nl/","0485-382725"
"77","HZVO","FHJQ82I","DEN HELDER","secr.hzvo@ziggo.nl","http://www.hzvo.nl","0223-633273"
"78","VV Haastrecht","BBDX065","HAASTRECHT","info@vvhaastrecht.nl","http://www.vvhaastrecht.nl","0182-501849"
"79","HMSH","BBGZ114","'S-GRAVENHAGE","secretaris@hmsh.nl","http://hmsh.nl","06 - 11 85 85 73"
"80","AFC 34","BBFW05D","ALKMAAR","info@afc34.nl","http://www.afc34.nl","06 - 39 81 75 84"
"81","V.V. Bergen","RSHW01A","BERGEN NH","secretaris@vvbergen.nl","http://vvbergen.nl","072-5822502"
"82","Hoogezand","BBBD12U","HOOGEZAND","hflambeck@hetnet.nl","http://www.vvhoogezand.nl","06-55912559"
"83","VVOR","BBFB33L","ROTTERDAM","secretarisvvor@hotmail.com","http://www.vvor.nl","010-4584858"
"84","Koninklijke HFC","BBCY126","HAARLEM","secretaris@konhfc.nl","http://www.konhfc.nl","06-2128 8500"
"85","VIOS'38","BBJF57B","BEUGEN","secretaris@vios38.nl","http://www.vios38.nl","0613658088"
"86","Wieringerwaard","BBFX36W","WIERINGERWAARD","bas_dijkshoorn@hotmail.com","http://www.svwieringerwaard.nl","06-16598365"
"87","Best Vooruit","BBHW437","BEST","cmoscheepens@onsbrabantnet.nl","http://www.bestvooruit.nl","0499-395904"
"88","HCSC","BBFW56X","DEN HELDER","secretaris@hcsc.nl","http://www.hcsc.nl","06 25219827"
"89","SGV","BBBG39O","SCHILDWOLDE","info@vvsgv.nl","http://www.vvsgv.nl/","0598-422680"
"90","SJO DFC","QKXP423","DRONRYP",,,
"91","Tynaarlo","BBBJ68D","TYNAARLO","alfredholman@home.nl","http://www.svtynaarlo.nl","06-48250700"
"92","Real Sranang  sv.","BBCZ21D","AMSTERDAM","info@realsranang.nl","http://www.realsranang.nl","06-13410971"
"93","Counters (The)","BBFX715","ZAANDIJK","covredenburg@upcmail.nl","http://www.thecounters.nl","075-6282023"
"94","Robinhood s.v.","GFBG33P","AMSTERDAM","iwanbottse@gmail.com",,"0621312577"
"95","VCK","BBHZ20N","KOUDEKERKE","secretaris@vck-koudekerke.nl","http://www.vck-koudekerke.nl","06-48869258"
"96","Kollum","BBBF993","KOLLUM","bestuur@vvkollum.nu","https://www.vvkollum.nl","0511-453059"
"97","DVO'60","BBJC794","ROOSENDAAL","secretarisdvo60@hotmail.com","http://www.dvo60.nl","06-30316869"
"98","Sportlust '46","BBDY65V","WOERDEN","secretaris@sportlust46.nl",,"06-38927864"
"99","ZDH","BBFX27U","DEN HOORN TEXEL","jooprommets@hetnet.nl","http://www.svzdh.nl","0222-319405"
"100","Delfia","BBGY91N","DELFT","secretaris@delfia.nl","http://www.delfia.nl","06-47566403"
"101","SJO OFW","LZYB68I","WILHELMINAOORD","info@vvwapserveen.nl","http://www.oldforward.nl","0629462328"
"102","DES","BBKT53G","NIJVERDAL","secretaris@vvdes.nl","http://www.vvdes.nl","0548-619793"
"103","Alliance '22  sv.","BBCY25C","HAARLEM","secretariaat@alliance22.nl","http://www.alliance22.nl","023-5260416"
"104","Loosdrecht","BBCC416","LOOSDRECHT","secretaris@svloosdrecht.nl","http://www.svloosdrecht.nl",
"105","Tunas","QLBS02T","HOOGEVEEN","serge@fctunas.nl","http://www.fctunas.nl","06-41323413"
"106","Sportclub'25","BBJS70H","BOCHOLTZ","secretariaat@sportclub25.nl","http://www.sportclub25.nl","06-14512394"
"107","DVC Appingedam","QKRW714","APPINGEDAM","secretariaat@dvcappingedam.nl","http://www.dvcappingedam.nl","0596-681388"
"108","DSVP","BBGZ006","PIJNACKER","bestuur@dsvp.nl","http://www.dsvp.nl","015-3694518"
"109","Dedemsvaart","BBKV44O","DEDEMSVAART","secretaris@svdedemsvaart.nl","http://www.svdedemsvaart.nl","0523-614935"
"110","Italian Boys","BBBD296","GRONINGEN","italianboys@fiorin.nl",," 050-3125735"
"111","Roosteren","BBJS23T","ROOSTEREN","erwin.theunissen@home.nl","http://www.vvroosteren.nl","0628943341"
"112","DVVC","BBJC956","DONGEN","joeri.dejong@home.nl","http://www.dvvc.nl","06-43159850"
"113","JCLE","FFGB822","SLAGHAREN","secretaris@jcle.nl","http://www.jcle.nl","06-29071952"
"114","Duinrand S","BBFW26O","SCHOORL","secretaris@duinrands.nl","http://www.duinrands.nl","072-5093330"
"115","Excelsior","FTRN05U","ROTTERDAM","facturen@sbvexcelsior.nl","http://www.scexcelsior.nl","010-4120516"
"116","FC Landgraaf","SWBK41F","LANDGRAAF","wim.reintjens@home.nl",,"06-23868250"
"117","SVBO","BBBC80K","EMMEN","email@vvsvbo.nl","http://www.vvsvbo.nl","06-10107729"
"118","FC Den Helder","BBFW61V","DEN HELDER","secretaris@fcdenhelder.nl","http://www.fcdenhelder.nl","06-54203638"
"119","DVV '09","MMHW819","DIRKSLAND","penningmeester@dvv09.nl","http://www.dvv09.nl","06-30162288"
"120","Susterse Boys","BBJS99M","SUSTEREN","secretaris@susterseboys.nl","http://www.susterseboys.nl","046-4492050"
"121","Inter'80","BBJW17G","VENLO","r.pelzer@home.nl","http://www.voetbal-clubs.nl/voetbal/zvvinter80/default.asp","06-47014705"
"122","Hoogeveen","BBBG45N","HOOGEVEEN","roelofoostindien@outlook.com","http://www.vvhoogeveen.nl","06-44186983"
"123","Sportclub Rijssen","BBKY02L","RIJSSEN","secretaris@sportclubrijssen.nl","http://www.sportclubrijssen.nl","06-15235719"
"124","Oosterstreek","BBBD62B","OOSTERSTREEK","vvo@vvoosterstreek.nl","http://www.vvoosterstreek.nl","0682893882"
"125","OSV","BBCZ024","AMSTERDAM","bestuur@osv-amsterdam.nl","http://www.osv-amsterdam.nl","06-22908630"
"126","Domburg","BBHV31V","DOMBURG","secretaris@vvdomburg.nl","http://www.vvdomburg.nl","06-41822244"
"127","Casteren","BBJH19B","CASTEREN","secretaris@vvcasteren.nl","http://www.vvcasteren.nl",
"128","Real Lunet","BBJH91R","VUGHT","info@reallunet.nl","http://www.reallunet.nl","06-34214996"
"129","Purmerend","BBFZ78M","PURMEREND","secretaris@fc-purmerend.nl","http://www.fc-purmerend.nl","0299-774500"
"130","FSG","BBJV86V","SITTARD","wilpaauwe@ziggo.nl","http://In behandeling","06-51361054"
"131","Alverna","BBKV794","WIJCHEN","davedriessen@hotmail.com","http://www.vvalverna.com","024-6417942"
"132","AAC-Olympia","NXTG36Z","HORSSEN","secretariaat@aac-olympia.nl","http://www.aac-olympia.nl","06-50861980"
"133","Rijnmond Hoogvliet Sport","BBDY49T","HOOGVLIET ROTTERDAM","bestuur@rijnmondhs.nl","http://www.rijnmondhs.nl","010-4169300"
"134","Wardy","BBBL82N","FERWERT","secretaris@wardy-ferwert.nl","http://wardy.demoaksint.nl",
"135","Meterik","BBJT15X","METERIK","secretaris@rksvmeterik.nl","https://rksvmeterik.nl/","077-3987522/077-3983466"
"136","sv DFS","FXRZ41A","OPHEUSDEN","secretaris@svdfs.nl","https://voetbal.svdfs.nl/","0488-442205"
"137","Oranje Nassau","BBBC545","GRONINGEN","secretarisoranjenassau@gmail.com","http://www.cvvoranjenassau.nl","050-5256133"
"138","Echteld","BBKW869","ECHTELD","vvechteld@outlook.com","http://www.vvechteld.nl","0344607602"
"139","'t Brökske/Eetcafé DKW","BBJV45I","NEDERWEERT","info@zvv-ut-brokske.nl","http://www.zvv-ut-brokske.nl","0628425956"
"140","De Tukkers","BBKR34Z","ALBERGEN","secretariaat@detukkers.nl","http://www.detukkers.nl","06-14156634"
"141","ZVV 't Flaterke","BBJX33N",,"info@zvvf.nl","http://www.zvvf.nl","06-29578987"
"142","Tutor","BBGY63G","DELFT","secrtutor@gmail.com","https://www.fctutor.com/","0648196146"
"143","KOSC","BBKR73C","OOTMARSUM","bestuur@kosc.nl","http://www.kosc.nl","06-22544362"
"144","Reiger Boys","BBFX02F","HEERHUGOWAARD","secretaris@reigerboys.nl","http://www.reigerboys.nl","06-20542283"
"145","ATC '65","BBKY15V","HENGELO OV","secretaris@atc65.nl","https://www.atc65.nl","074-2771618"
"146","FC Skillz","SVZG14A","'S-GRAVENHAGE","info@fcskillz.nl",,"06-38057390"
"147","SV Estrellas","SVFH24E","RINCON","wedstrijdorganisatie@knvb.nl",,"0343-499531"
"148","Stormvogels'64","BBBC729","ACHLUM","pj.tijdeman@live.nl","http://www.stormvogels64.nl","0653507694"
"149","Hellevoetsluis","BBDX18E","HELLEVOETSLUIS","info@vvhellevoetsluis.nl","http://www.vvhellevoetsluis.nl","06-57587590"
"150","OSC'45","BBJG84M","'S-HERTOGENBOSCH","secretaris@osc45.nl","http://www.osc45.nl","06-40455086"
"151","MEC","BBKX509","WINTERSWIJK MISTE","secretariaat@vvmec.nl","http://www.vvmec.nl","0543-512900"
"152","SP Haarlo","BBKS74I","HAARLO","secretaris@sphaarlo.nl","http://www.sphaarlo.nl","0545-477876"
"153","SV Otterlo","BBKW582","OTTERLO","voorzitter@svotterlo.nl","http://www.svotterlo.nl","0318-591555"
"154","FC Geleen-Zuid","BBJS29Z","GELEEN","secretaris@fcgeleenzuid.nl","http://www.fcgeleenzuid.nl","06-28425215"
"155","Warga","BBBK437","WARGA","bestuur@vvwarga.nl","http://www.vvwarga.nl","06-30486873 / 0582553138"
"156","VDL","BBFB30S","MAASSLUIS","andrecverbrugge6@hotmail.com","http://www.vdl-maassluis.nl/","06-20270594"
"157","SJO Oeken/Brummen","SLQP915","BRUMMEN","jacomiengraven@gmail.com","https://www.sjo-oeken-brummen.nl",
"158","BVCB","BBDY83Z","BERGSCHENHOEK","info@bvcb.nl","http://www.bvcb.nl","010-5225484"
"159","Rood Wit'62","BBJH94U","HELMOND","secretariaat@roodwit62.nl","http://www.roodwit62.nl","0492-515416"
"160","ONB","BBBC77E","DRACHTEN","secretaris@vvonb.nl","http://www.vvonb.nl","06-46351051"
"161","Vlijmense Boys","BBJF83G","VLIJMEN","secretaris@vlijmenseboys.nl","http://www.vlijmenseboys.nl","073-5112683"
"162","Bruse Boys","BBHT55V","BRUINISSE","secretaris@bruseboys.nl","http://www.bruseboys.nl","0111-482089"
"163","TOS-Actief","BBCZ08A","AMSTERDAM","secretaris@tos-actief.nl","http://www.tos-actief.nl","0625078676"
"164","ZSW","BBKS60L","MALDEN","jorconmgn@gmail.com","http://www.zsw-wijchen.nl","0611169086"
"165","JVC Dedemsvaart","NXTG27X","DEDEMSVAART","secretaris@jvcdedemsvaart.nl","http://www.jvcdedemsvaart.nl","0523-613208"
"166","vv Stânfries","BBBG57S","APPELSCHA","info@vvstanfries.nl","http://vvstanfries.nl",
"167","ZVV Awt-Gelaen","NKQH40J","GELEEN","secretaris@zvvawtgelaen.nl","http://www.zvvawtgelaen.nl","06-40403130"
"168","Vesdo","BBFZ94O","SCHAGERBRUG","secretaris_vesdo@live.nl","http://www.molentochtschagerbrug.nl","06-48189870"
"169","Madjoe","BBBG10J","GRONINGEN","voorzitter@madjoe.nl","http://www.madjoe.nl/","0612446107"
"170","SVI","BBKV956","ZWOLLE","secretaris@vvsvi.nl","http://www.vvsvi.nl","038-4650037"
"171","PSV","BBJG81J","EINDHOVEN","h.kristel@psv.nl","http://www.psvjeugd.nl","040-2505505"
"172","SC Meddo","BBKW40Z","WINTERSWIJK MEDDO","secretaris@scmeddo.nl","http://www.scmeddo.nl","06-18967550"
"173","ASV'33","BBHT73Z","AARLE-RIXTEL","secretariaat@asv33.nl","http://www.asv33.nl","06-23472370"
"174","GPSOV","BBFD07M","ALPHEN AAN DEN RIJN","paul.schols@hotmail.nl",,"0172-532397"
"175","SV Atlétiko Flamingo","SVFH21B","RINCON","wedstrijdorganisatie@knvb.nl",,"0343-499531"
"176","VVC fc","BBCY86V","NIEUW-VENNEP","s.vandebeld@gmail.com","http://www.fcvvc.nl","0252-686719"
"177","Zwaag","BBFZ48D","BLOKKER","jan.esther@quicknet.nl","http://www.zvvzwaag.nl","0229-233355"
"178","Almelo","BBKW90G","ALMELO","bestuur@svalmelo.nl","http://www.svalmelo.nl","0546-817703"
"179","Houtwijk sv","BBGZ85T","'S-GRAVENHAGE","secretaris@svhoutwijk.nl","http://www.sv-houtwijk.nl",
"180","vv Sneek Wit Zwart","LWTX30J","SNEEK","secretariaat@swzbososneek.nl","https://www.vvsneekwitzwart.nl","0515-413577"
"181","Holz ZVC","BBJV79V","EYGELSHOVEN","bramwetzels@hotmail.com",,"06-27856661"
"182","Avanti'31","BBHT915","SCHIJNDEL","ton.zandbergen.1@kpnmail.nl","http://www.avanti31.nl","06-22504163"
"183","SJO Coendersborg","SQLR12C","GRONINGEN","alexbolt@hetnet.nl","https://sjocoendersborg.nl",
"184","F.C. de Ark","RSVK575","ANNA PAULOWNA","w.broekema@quicknet.nl",,
"185","VVJ","BBBZ157","UTRECHT","camu.vvj@hetnet.nl","http://www.vvjutrecht.nl","030-2431142"
"186","Flamingo s  64 (de)","BBFW27P","ALKMAAR","n.hoogland1@chello.nl","http://www.flamingos64.nl","06-10094774"
"187","Gorecht","BBBD30A","HAREN GN","secretaris@vvgorecht.nl","http://www.vvgorecht.nl","050-5349477"
"188","Geinburgia  sv.","BBCY45I","AMSTERDAM","bestuur@geinburgia.nl","http://www.geinburgia.nl","06-34485663"
"189","ASVB","BBBD92K","BLIJHAM","info@administratie-oosteinde.nl","http://www.vvasvb.com","06-28390041"
"190","Bergentheim","BBKV45P","BERGENTHEIM","secretariaat@vvbergentheim.nl","http://www.vvbergentheim.nl","0523  232305"
"191","Ameide","BBHX85Q","TIENHOVEN ZH","info@vvameide.nl","http://www.vvameide.nl","0613841341"
"192","Achilles Veen","BBJK30X","VEEN","secretaris@achillesveen.nl","http://www.achillesveen.nl","06-50409577"
"193","Merselo","BBJV18C","MERSELO","secretaris@svmerselo.nl","http://www.svmerselo.nl","06-51059469"
"194","KSC","BBBG76X","SCHOONOORD","secretariaatksc@gmail.com","http://www.vvksc.nl","0653361487"
"195","Dynamo","BBFW19O","URSEM","goodijk@kpnmail.nl","http://www.scdynamo.nl","072-5021141"
"196","Kagia","BBGZ78T","LISSERBROEK","chantalw123@hotmail.com","https://www.kagia.nl","0252-410348"
"197","BOZV/Autobedrijf Haisch","FVFP937","BERGEN OP ZOOM","mpj@hotmail.nl",,"06-53739738"
"198","Ilpendam","BBFW36R","ILPENDAM","fabian.kramer@hotmail.com","http://www.sv-ilpendam.nl","020-4361828"
"199","HSV","BBFZ82J","HEILOO","secretaris@vvhsv.nl","http://www.vvhsv.nl","06-50290798"
"200","GSV '38","BBKV39Q","GIESBEEK","gerben.thiel@upcmail.nl","http://www.gsv38.nl","0313-632607"
"201","AZ","SWCH196","ALKMAAR","info@az.nl","http://www.az.nl","072-5478000"
"202","Kadoelen sv.","BBCY40N","AMSTERDAM","secretariskadoelen@gmail.com","http://www.svkadoelen.nl","06-11230267"
"203","Rijsoord","BBJB62N","RIDDERKERK","info@vv-rijsoord.nl","http://www.vv-rijsoord.nl","0180-420070"
"204","OHVV","BBDX54M","OUDENHOORN","info@ohvv.nl","http://www.ohvv.nl",
"205","DOS '37","BBKR466","VRIEZENVEEN","tonnyvandercozijne@icloud.com","http://www.dos37.nl","0546-562910"
"206","The Knickerbockers","BBBD58E","GRONINGEN","secretaris@knickerbockers.nl","http://knickerbockers.nl","0615957912"
"207","B.V.V.","BBHX80V","'S-HERTOGENBOSCH","f.vandartel@home.nl","http://www.bvvdenbosch.nl","06-15006822"
"208","Irene","BBJH55J","GEMONDE","hmornout@ashland.com","http://www.vvirene.nl","073-5513155"
"209","Allen Weerbaar","BBCC162","BUSSUM","info@allenweerbaar.nl","http://www.allenweerbaar.nl","035-7857977"
"210","Reusel Sport/CoTrans","BBHT10O","REUSEL","secretaris@reuselsport.nl","http://www.reuselsport.nl","06-27497837"
"211","Colmschate '33","BBKX657","DEVENTER","secretaris@svcolmschate.nl","http://www.svcolmschate.nl",
"212","Baron De","BBCB84G","HILVERSUM","mc.roskam@hotmail.com",,"06-55356488"
"213","SSA Haanrade/SVA","SSWF21J","KERKRADE","haanrade.sva@gmail.com",,
"214","DIO Groningen","BBBN16G","GRONINGEN","info@diogroningen.nl","http://www.diogroningen.nl","050-5718284-0623192982"
"215","SV TOP","BBJJ34M","OSS","secretaris@svtop.nl","http://www.svtop.nl","06-22551616"
"216","Fc. Grootegast","FJGP04M","DOEZUM","info@fcgrootegast.nl","http://www.fcgrootegast.nl",
"217","VVI","BBBD65E","IDSKENHUIZEN","bestuur@vvidskenhuizen.nl","http://www.vvidskenhuizen.nl","06-18819742 / 0513-432200"
"218","Theater (het)/Drukkerij Krijgsman","BBFZ11V","ALKMAAR","adriewarmenhoven@yahoo.com",,"072-5118952"
"219","Kleine Sluis","PKLP299","ANNA PAULOWNA","jbeets@ziggo.nl","http://svkleinesluis.nl","0223-532038"
"220","DIVA'83","BBBB78A","GRONINGEN","secretaris@diva83.nl","http://www.damesinvoetbalactief.nl","06-25231094"
"221","Hulsterloo","BBJB75T","NIEUW NAMEN","tkdvw@hotmail.com","http://www.vvhulsterloo.nl","0114-345337"
"222","Walram","BBJV063","VALKENBURG LB","secretariaat@vvwalram.nl","http://www.vvwalram.nl","06-52385547"
"223","Walk Inn Boys","BBCB31W","NIJKERK GLD","johnvedder1968@gmail.com",,"06-41041270"
"224","Astrantia","BBKX587","MIDDELAAR","remus.hebing@live.nl","http://www.astrantia.nl","024-3584522  /  06-41691767"
"225","Manderveen","BBKT72L","MANDERVEEN","hanste@online.nl",,"0541-680134"
"226","ZIGO","BBJG04S","TILBURG","secretaris@vvzigo.nl","http://www.vvzigo.nl","013-4554973"
"227","SV Valkenswaard","BBJC45P","VALKENSWAARD","info@sv-valkenswaard.nl","http://www.svvalkenswaard.nl","06-11015184"
"228","Helmond Sport","SWBZ038","HELMOND","info@helmondsport.nl","http://www.helmondsport.nl","0492-524721"
"229","DTC '07","FFGB855","LATTROP-BREKLENKAMP","secretariaat@dtc07.nl","http://www.dtc07.nl","06-13785635"
"230","sv O.S.S. 1920","BBJG94P","OSS","secretaris@oss20.nl","http://www.oss20.nl","06-22569691"
"231","zv Sèrum","FKLS00L","SEVENUM","zvserum@live.nl","www.zvserum.nl","06-53727865"
"232","Zwammerdam","BBFB50Y","ZWAMMERDAM","hczaal-verbree@live.nl","https://vvzwammerdam.nl/","0172-616872"
"233","SenC","RSMT51F","EINDHOVEN","secretaris@sportencoaching.nl","http://www.sencies.nl","06-46176010"
"234","Protos","BBBD04P","COEVORDEN","josbakker166@gmail.com","http://www.vvprotos.nl","06-40563187"
"235","BSC '68","BBGY82L","BENTHUIZEN","info@bsc68.nl","http://www.bsc68.nl","079-3436571"
